_____ ____,,,,,,,
,,,,,,,
____ - ________ - 7524,____ ____,02/05/24,,,,,
05/04/2024,07/04/2024,AMZN MKTP US N78FT79,204.44,$,204.44,$,
,07/04/2024,TOTAL FOR DATE,204.44,$,,,
08/04/2024,10/04/2024,SPLICE COM  SOUNDS 1,7.99,$,7.99,$,
,10/04/2024,TOTAL FOR DATE,7.99,$,,,
25/04/2024,28/04/2024,GITHUB  INC,10,$,10,$,
26/04/2024,28/04/2024,AMAZON PRIME 963VR6X,14.99,$,14.99,$,
,28/04/2024,TOTAL FOR DATE,24.99,$,,,
27/04/2024,30/04/2024,AMAZON PRIME V627366,12.34,$,12.34,$,
,30/04/2024,TOTAL FOR DATE,12.34,$,,,
30/04/2024,01/05/2024,AMZN MKTP US I86XB5U,38.99,$,38.99,$,
,01/05/2024,TOTAL FOR DATE,38.99,$,,,
30/04/2024,02/05/2024,AMAZON PRIME YU1N09R,10.33,$,10.33,$,
,02/05/2024,TOTAL FOR DATE,10.33,$,,,
05/04/2024,07/04/2024,APPLE COM BILL,33.9,_,33.9,_,
06/04/2024,07/04/2024,NETFLIX COM,69.9,_,69.9,_,
,07/04/2024,TOTAL FOR DATE,103.8,_,,,
07/04/2024,08/04/2024,APPLE COM BILL,39.9,_,39.9,_,
,08/04/2024,TOTAL FOR DATE,39.9,_,,,
08/04/2024,10/04/2024,PAYPAL  DIGITALRIVE,105,_,105,_,
,10/04/2024,TOTAL FOR DATE,105,_,,,
16/04/2024,18/04/2024,APPLE COM BILL,39.9,_,39.9,_,
,18/04/2024,TOTAL FOR DATE,39.9,_,,,
26/04/2024,28/04/2024,SPOTIFY,29.9,_,29.9,_,
,28/04/2024,TOTAL FOR DATE,29.9,_,,,
,,,,,,,
